Solution name,Time(s),Gap(%),Objective value,Deletions,IPROBUT_module,IBUT_module,PRO_module,ETH_module,PROBUT_module,IPRO_module,BUT_module,BUTBUT_module,IBUTBUT_module,ETHBUT_module
p94,,,108.36924579570145,"['FEM2', 'GG11', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']",['PPP3'],"['TRA1', 'TRA6', 'FEM5']","['FEM2', 'PPP3']","['TRA1', 'TRA6']","['FEM2', 'TRA6']","['FEM2', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['TRA6', 'FEM5']"
p95,,,108.36924579570145,"['FEM2', 'GG11', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['FEM2', 'PPP3']","['TRA1', 'TRA6', 'FEM5']","['FEM2', 'PPP3']","['TRA1', 'TRA6']",['TRA6'],"['FEM2', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['FEM2', 'TRA6', 'FEM5']"
p96,,,108.36924579570145,"['FEM2', 'GG11', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['FEM2', 'PPP3']","['TRA1', 'TRA6', 'FEM5']",['PPP3'],"['TRA1', 'TRA6']",['TRA6'],"['FEM2', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['TRA6', 'FEM5']"
p97,,,108.36924579570143,"['GG11', 'OPM4r', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']",['PPP3'],"['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'PPP3']","['TRA1', 'TRA6']",['TRA6'],"['OPM4r', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['TRA6', 'FEM5']"
p98,,,108.36924579570145,"['FEM2', 'GG11', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['FEM2', 'PPP3']","['TRA1', 'TRA6', 'FEM5']","['FEM2', 'PPP3']","['TRA1', 'TRA6']",['TRA6'],"['FEM2', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['TRA6', 'FEM5']"
p99,,,108.36384351748784,"['FEM2', 'GG11', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['PPP3', 'TRA6']","['TRA1', 'TRA6', 'FEM5']",['PPP3'],"['TRA1', 'TRA6']",['TRA6'],"['FEM2', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['TRA6', 'FEM5']"
p100,,,108.36384351748784,"['FEM2', 'GG11', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['PPP3', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['FEM2', 'PPP3']","['TRA1', 'TRA6']",['TRA6'],"['FEM2', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['TRA6', 'FEM5']"
p101,,,108.36384351748784,"['FEM2', 'GG11', 'PPP3', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['PPP3', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['FEM2', 'PPP3']","['TRA1', 'TRA6']",['TRA6'],"['FEM2', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['FEM2', 'TRA6', 'FEM5']"
p102,,,108.36384351748818,"['GG11', 'OPM4r', 'PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['PPP1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']",['PPP1'],"['TRA1', 'TRA6']",['TRA6'],['TRA6'],"['TRA1', 'TRA6', 'FEM5']","['TRA6', 'FEM5']"
p103,,,108.36924579570143,"['GG11', 'OPM4r', 'PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']",['PPP1'],"['TRA1', 'TRA6', 'FEM5']",['PPP1'],"['TRA1', 'TRA6']",['TRA6'],"['OPM4r', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['TRA6', 'FEM5']"
p104,,,108.36924579570143,"['GG11', 'OPM4r', 'PPP1', 'TRA1', 'TRA2', 'TRA4', 'TRA5', 'TRA6']","['TRA1', 'TRA6']","['TRA1', 'TRA6', 'FEM5']","['OPM4r', 'PPP1']","['TRA1', 'TRA6', 'FEM5']",['PPP1'],"['TRA1', 'TRA6']",['TRA6'],['TRA6'],"['TRA1', 'TRA6', 'FEM5']","['TRA6', 'FEM5']"
