id,eqn,stdev,etoh_pdc,ppoh,btoh,ibutoh,ptoh,btd,pyr,lac__D,ac,adpac,etylace,ppylace,ibutylace,etylbte,ppylbte,btylbte,ibutylbte,etylpte,ibutylpte,ptylpte
D_LACtex,lac__D_e  <=> lac__D_p ,0.405287796880736,-8.25965663333721e-11,-1.52360900054904e-10,-4.87330455150186e-11,-7.74771371047818e-10,-2.37091532849046e-29,-6.22551585571671e-11,-1.23574920765399e-11,-1.81250212862549,-4.26424880625496e-30,-4.89266856801469e-12,-2.0432348465094e-11,-8.83293355229095e-12,-5.76262001970908e-11,-1.38595819667097e-11,-1.31275675052389e-29,-3.27324623417321e-11,-7.88723012622138e-12,-2.8019072681928e-12,-8.41449040035446e-11,-1.27736460223853e-11
D_LACt2pp,h_p + lac__D_p  <=> h_c + lac__D_c ,0.405287796880736,-8.25965663333721e-11,-1.52360900054904e-10,-4.87330455150182e-11,-7.74771371047818e-10,-2.37091532849046e-29,-6.22551585571671e-11,-1.23574920765399e-11,-1.81250212862549,-4.26424880625496e-30,-4.89266856801469e-12,-2.0432348465094e-11,-8.83293355229095e-12,-5.76262001970908e-11,-1.38595819667097e-11,-1.31275675052389e-29,-3.27324623417321e-11,-7.88723012622138e-12,-2.8019072681928e-12,-8.41449040035446e-11,-1.27736460223853e-11
EX_lac__D_e,lac__D_e  -> ,0.405287796880736,8.25971362398382e-11,1.52363606216825e-10,4.87333893186135e-11,7.74777671688717e-10,2.37091532849046e-29,6.2256276074371e-11,1.2357768571484e-11,1.81250212862549,4.26424880625496e-30,4.89272128245734e-12,2.04325960030985e-11,8.83343265576712e-12,5.76263495709202e-11,1.38597025760191e-11,1.31275675052389e-29,3.27325477426023e-11,7.88723546409864e-12,2.8052926896185e-12,8.41671538291628e-11,1.27811420040849e-11
POR5,2 flxso_c + pyr_c + coa_c  <=> h_c + 2 flxr_c + accoa_c + co2_c ,0.401725175724798,0.00128056053904813,0.00127437324292842,0.00128056090626172,0.000821646561901717,0.000445863110692659,0.000445862878210219,0.000571430212695546,0.00121484181702364,-1.79579934879951,0.000483455210975863,0.000779615795806793,0.000779556405797677,0.000589111497021996,0.000989306430458289,0.000443952615563818,0.00106583663080777,0.000549887213658878,0.000443952675912197,0.00065674440268433,0.000508135521571171
FLDR2,2 flxso_c + nadph_c  -> h_c + 2 flxr_c + nadp_c ,0.401559192991125,4.01365635787537e-11,3.57121845868328e-11,2.60246715052336e-11,8.48877107107871e-10,9.25991676249465e-30,2.56454064984319e-11,3.95164261031873e-12,6.72255995053474e-12,1.79582730509303,1.51612938135289e-12,4.32682320572579e-12,2.70845229333463e-12,1.86280002144717e-11,3.35936215130122e-12,5.09519401452991e-30,9.61486834106632e-12,2.38321500130813e-12,1.60520970160371e-12,4.1561911282871e-11,6.58168497379074e-12
EX_etoh_e,etoh_e  -> ,0.39197076180446,1.7529465371743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETOHtex,etoh_e  <=> etoh_p ,0.391970761804459,-1.7529465371743,0,0,0,0,0,0,0,0,0,-0,0,0,-0,0,0,0,-0,0,0
ETOHtrpp,etoh_p  <=> etoh_c ,0.391970761804459,-1.7529465371743,0,0,0,0,0,0,0,0,0,-0,0,0,-0,0,0,0,-0,0,0
PPC,pep_c + h2o_c + co2_c  -> h_c + pi_c + oaa_c ,0.343235367389349,0.0471344256163128,0.653432407113739,0.04713443462266,0.0302431494337329,0.606565255048421,0.706333345094199,1.00225684739861,0.0447154635767244,0.0468436426610249,0.833073422232161,0.0286958195890371,0.507447275337379,0.795038102606922,0.0364140369541606,0.595893341015202,0.0392309350916182,0.0202400519261898,0.595893754335806,0.462690106491802,0.647383736141738
ECOAH1,3hbcoa_c  <=> h2o_c + b2coa_c ,0.319600014709419,0.00419039127686867,0.00417014425879018,0.880663887464483,0.00268870582177213,0.00145900201216729,0.00145900198070449,0.00186989651598755,0.00397533837047833,0.00416453986562747,0.00158201503243662,0.0025511441323628,0.00255094976140789,0.00192775554183989,0.613162668059387,0.585262060736823,0.911791726572625,0.480582095351075,0.0014527505201654,0.00214907197494407,0.00166277677648238
HACD1,h_c + aacoa_c + nadh_c  <=> nad_c + 3hbcoa_c ,0.319600014709419,0.00419039127686867,0.00417014425879018,0.880663887464483,0.00268870582177213,0.00145900201216729,0.00145900198070449,0.00186989651598755,0.00397533837047833,0.00416453986562747,0.00158201503243662,0.0025511441323628,0.00255094976140789,0.00192775554183989,0.613162668059387,0.585262060736823,0.911791726572625,0.480582095351075,0.0014527505201654,0.00214907197494407,0.00166277677648238
ACACT1r,2 accoa_c  <=> aacoa_c + coa_c ,0.319600014709419,0.00419039127686867,0.00417014425879018,0.880663887464483,0.00268870582177213,0.00145900201216729,0.00145900198070449,0.00186989651598755,0.00397533837047833,0.00416453986562747,0.00158201503243662,0.0025511441323628,0.00255094976140789,0.00192775554183989,0.613162668059387,0.585262060736823,0.911791726572625,0.480582095351075,0.0014527505201654,0.00214907197494407,0.00166277677648238
FUM,fum_c + h2o_c  <=> mal__L_c ,0.303513845797905,0,0,0,0,0,0,-0.981223847991469,0,0,0,0,0,-0.773354292122989,0,0,0,0,0,-0.438516880535945,-0.628680464180365
MDH,nad_c + mal__L_c  <=> h_c + oaa_c + nadh_c ,0.303513845792317,1.63361648390947e-12,-8.18839555990496e-11,5.5355268699188e-12,-2.65567457032943e-10,-1.21437083089229e-30,2.57723890699603e-11,-0.981223847995403,-1.0765092515415e-11,-2.12900306677925e-30,1.35142622678283e-12,-1.29957218010809e-11,-1.46384768081268e-11,-0.773354292148425,-6.20341166038049e-12,-1.77748860814452e-30,-1.05099894646422e-11,-6.031175804518e-12,8.27666141006569e-13,-0.438516880538693,-0.628680464180911
ASPT,asp__L_c  -> nh4_c + fum_c ,0.296045552381994,3.07736478824019e-11,0.606525723965989,1.22959750835286e-11,1.79892039596598e-09,0.590154085722424,0.490386070230392,2.7663041462955e-12,4.59223256495976e-12,1.88344458506554e-30,0.815278575880751,7.93675914357839e-12,0.478753642141255,1.2439580614703e-11,3.66756571600562e-12,0.579552492508091,8.83026670554878e-12,3.12301364464492e-12,0.579552903097381,4.30185768177643e-11,6.98383244504948e-12
ASPTA,akg_c + asp__L_c  <=> glu__L_c + oaa_c ,0.292547628797214,-0.0344743287687061,-0.640833480830979,-0.0344743353796053,-0.0221199740797964,-0.602157288061048,-0.502389272627051,-0.0153836294378526,-0.0327050892032242,-0.0342616488788407,-0.828293805750874,-0.0209882502414477,-0.499740293246518,-0.0158596355284785,-0.0266333888038252,-0.591504261886581,-0.0286936806368404,-0.0148036641194348,-0.591504674461704,-0.0176804050452823,-0.0136796564018528
GLUDy,nadp_c + glu__L_c + h2o_c  <=> h_c + akg_c + nh4_c + nadph_c ,0.286549324798454,-0.100704083059543,-0.706093649964886,-0.100704102432005,-0.0641965559659033,-0.625217030507687,-0.525449015139851,-0.0446463487985561,-0.0949166661894459,-0.0994341116139743,-0.853297787189808,-0.0609120717906291,-0.539661072935389,-0.0460278130099992,-0.0772953854030906,-0.614465194800519,-0.0832747616148232,-0.0429631742244588,-0.61446561118649,-0.0516468061266123,-0.0399600892561651
MMCD,h_c + mmcoa__S_c  -> ppcoa_c + co2_c ,0.2786452840496,1.84195557209302e-11,0.618744992302744,1.13964572755574e-11,1.61003228714969e-10,0.594429222359132,1.37353583295863e-11,2.60444898271004e-12,5.30318758730478e-12,1.26524591166508e-30,9.71460416952951e-13,4.89084451861993e-12,0.486228380848118,1.31060250499511e-11,3.30791773641861e-12,0.58380931045567,7.44168567197817e-12,1.82710223274054e-12,0.583809721770865,0.444814045802657,0.633552697331828
MMM,succoa_c  -> mmcoa__S_c ,0.2786452840496,1.84195557209302e-11,0.618744992302744,1.13964572755574e-11,1.61003228714969e-10,0.594429222359132,1.37353583295863e-11,2.60444898271004e-12,5.30318758730478e-12,1.26524591166508e-30,9.71460416952951e-13,4.89084451861993e-12,0.486228380848118,1.31060250499511e-11,3.30791773641861e-12,0.58380931045567,7.44168567197817e-12,1.82710223274054e-12,0.583809721770865,0.444814045802657,0.633552697331828
SUCCtex,succ_e  <=> succ_p ,0.272358714556035,-0.0122785956187774,-2.78073942554746e-11,-0.0122785979125192,-0.00787839222298975,-8.21318636902087e-30,-2.30767619384809e-11,-0.986702978986158,-0.0116484519173246,-0.0122028460592282,-1.11406332735649e-12,-0.00747530827794962,-2.12981911948669e-12,-0.779002960505315,-0.00948591660660946,-4.4807551508322e-30,-0.0102197232280626,-0.00527256686605537,-1.38228576717884e-12,-9.21749134640747e-11,-2.58922195827952e-11
